cena,km,rok,stari,combi,benzin,diesel,LPG,felicia,octavia,superb,km1000,cena1000
109900,174737,1996,8,0,1,0,0,1,0,0,174.737,109.9
399000,21000,2001,3,0,1,0,0,0,1,0,21,399
90000,120000,1997,7,0,1,0,0,1,0,0,120,90
135000,92038,1998,6,0,0,0,1,1,0,0,92.038,135
249000,43815,2000,4,0,1,0,0,0,1,0,43.815,249
680000,19800,2003,1,0,1,0,0,0,0,1,19.8,680
199900,79000,1999,5,0,1,0,0,0,1,0,79,199.9
73000,129000,1995,9,0,1,0,0,1,0,0,129,73
239000,126390,1997,7,0,0,1,0,0,1,0,126.39,239
139000,112855,1997,7,0,0,1,0,1,0,0,112.855,139
172000,177723,1997,7,0,1,0,0,0,1,0,177.723,172
96000,123000,1995,9,0,1,0,0,1,0,0,123,96
249000,128000,1999,5,0,1,0,0,0,1,0,128,249
99000,99352,1995,9,1,1,0,0,1,0,0,99.352,99
139900,168592,1999,5,0,0,1,0,1,0,0,168.592,139.9
369000,135635,2000,4,0,0,1,0,0,1,0,135.635,369
146000,89000,1998,6,0,1,0,0,1,0,0,89,146
99900,117388,1995,9,0,1,0,0,1,0,0,117.388,99.9
319000,53136,2001,3,0,1,0,0,0,1,0,53.136,319
714000,3109,2002,2,0,1,0,0,0,1,0,3.109,714
289000,76600,1998,6,1,1,0,0,0,1,0,76.6,289
214000,128674,1999,5,0,1,0,0,0,1,0,128.674,214
95000,125815,1995,9,0,1,0,0,1,0,0,125.815,95
309000,80500,2000,4,0,1,0,0,0,1,0,80.5,309
144000,122500,1999,5,1,0,1,0,1,0,0,122.5,144
89000,137500,1996,8,1,0,0,1,1,0,0,137.5,89
109900,163874,1995,9,0,1,0,0,1,0,0,163.874,109.9
424000,36237,2002,2,0,1,0,0,0,1,0,36.237,424
155000,75666,2000,4,0,0,1,0,1,0,0,75.666,155
195000,113247,2000,4,0,1,0,0,0,1,0,113.247,195
649000,8129,2003,1,0,0,1,0,0,0,1,8.129,649
89900,189657,1995,9,0,1,0,0,1,0,0,189.657,89.9
98000,88000,1996,8,0,1,0,0,1,0,0,88,98
66000,99000,1995,9,1,1,0,0,1,0,0,99,66
149000,58114,1999,5,0,1,0,0,1,0,0,58.114,149
439000,79832,2001,3,1,0,1,0,0,1,0,79.832,439
298000,77000,1999,5,1,0,1,0,0,1,0,77,298
375000,51862,2001,3,0,1,0,0,0,1,0,51.862,375
289000,122000,1999,5,1,1,0,0,0,1,0,122,289
649000,42000,2002,2,1,0,1,0,0,1,0,42,649
159900,79000,1997,7,0,1,0,0,0,1,0,79,159.9
139900,121086,1998,6,0,1,0,0,1,0,0,121.086,139.9
139900,69402,1998,6,0,1,0,0,1,0,0,69.402,139.9
135000,144163,1998,6,0,1,0,0,1,0,0,144.163,135
899000,14400,2003,1,0,1,0,0,0,0,1,14.4,899
697000,25845,2003,1,0,0,1,0,0,0,1,25.845,697
79900,97000,1996,8,0,1,0,0,1,0,0,97,79.9
89900,148242,1995,9,0,1,0,0,1,0,0,148.242,89.9
839000,13514,2003,1,0,0,1,0,0,0,1,13.514,839
95000,108000,1996,8,0,1,0,0,1,0,0,108,95
279000,120000,1998,6,1,0,1,0,0,1,0,120,279
275000,92000,1999,5,0,0,1,0,0,1,0,92,275
168000,21360,2001,3,0,1,0,0,1,0,0,21.36,168
119900,151518,1998,6,0,1,0,0,1,0,0,151.518,119.9
125000,140213,1996,8,0,0,1,0,1,0,0,140.213,125
189900,72000,1997,7,0,1,0,0,0,1,0,72,189.9
89900,114443,1995,9,0,1,0,0,1,0,0,114.443,89.9
537000,2765,2003,1,0,0,1,0,0,1,0,2.765,537
139000,77000,1999,5,0,1,0,0,1,0,0,77,139
649000,26937,2003,1,1,0,1,0,0,1,0,26.937,649
129900,107978,1996,8,0,1,0,0,1,0,0,107.978,129.9
659000,26193,2002,2,0,0,1,0,0,0,1,26.193,659
159800,38000,2000,4,0,1,0,0,1,0,0,38,159.8
109000,137379,1996,8,0,1,0,0,1,0,0,137.379,109
129000,88000,1999,5,0,1,0,0,1,0,0,88,129
118800,93000,1997,7,0,1,0,0,1,0,0,93,118.8
70000,160774,1996,8,1,1,0,0,1,0,0,160.774,70
128800,94000,1999,5,0,1,0,0,1,0,0,94,128.8
89000,95213,1997,7,0,1,0,0,1,0,0,95.213,89
179000,54877,1999,5,0,1,0,0,0,1,0,54.877,179
129000,122000,1996,8,1,0,0,1,1,0,0,122,129
150000,112100,1998,6,1,1,0,0,1,0,0,112.1,150
689000,59128,2002,2,0,0,1,0,0,0,1,59.128,689
285000,161000,1998,6,0,0,1,0,0,1,0,161,285
96800,67000,1995,9,0,1,0,0,1,0,0,67,96.8
119000,130000,1997,7,0,1,0,0,1,0,0,130,119
119000,98900,1998,6,0,1,0,0,1,0,0,98.9,119
159900,41000,1999,5,0,1,0,0,1,0,0,41,159.9
132000,144000,1999,5,0,1,0,0,1,0,0,144,132
109900,204250,1996,8,0,1,0,0,1,0,0,204.25,109.9
85000,114127,1995,9,0,1,0,0,1,0,0,114.127,85
249000,76000,1998,6,0,1,0,0,0,1,0,76,249
749000,56000,2002,2,0,0,1,0,0,0,1,56,749
245000,179000,2002,2,1,1,0,0,0,1,0,179,245
124800,61000,1996,8,1,1,0,0,1,0,0,61,124.8
699000,27542,2003,1,0,1,0,0,0,0,1,27.542,699
269000,117578,1999,5,0,0,1,0,0,1,0,117.578,269
118000,100000,1997,7,0,1,0,0,1,0,0,100,118
139900,122526,1999,5,0,0,0,1,1,0,0,122.526,139.9
79950,100157,1995,9,0,1,0,0,1,0,0,100.157,79.95
179900,58000,1999,5,0,1,0,0,1,0,0,58,179.9
493000,29512,2002,2,0,1,0,0,0,1,0,29.512,493
146000,50000,2000,4,0,1,0,0,1,0,0,50,146
84000,133465,1996,8,0,1,0,0,1,0,0,133.465,84
349000,20000,2002,2,1,1,0,0,0,1,0,20,349
436000,280,2002,2,0,1,0,0,0,1,0,0.28,436
109000,78000,1997,7,0,1,0,0,1,0,0,78,109
652000,59128,2002,2,0,1,0,0,0,0,1,59.128,652
104000,171000,1996,8,1,0,1,0,1,0,0,171,104
79000,103000,1995,9,0,1,0,0,1,0,0,103,79
115000,75000,1995,9,1,1,0,0,1,0,0,75,115
185000,137000,1998,6,0,1,0,0,0,1,0,137,185
130000,127378,1996,8,0,1,0,0,1,0,0,127.378,130
91000,86000,1996,8,0,1,0,0,1,0,0,86,91
120000,90000,1997,7,0,1,0,0,1,0,0,90,120
228000,127500,1999,5,0,1,0,0,0,1,0,127.5,228
92000,98000,1996,8,0,1,0,0,1,0,0,98,92
314999,123000,2000,4,0,1,0,0,0,1,0,123,314.999
220000,119841,1998,6,1,1,0,0,0,1,0,119.841,220
99000,93400,1998,6,0,1,0,0,1,0,0,93.4,99
349000,96000,2000,4,1,0,1,0,0,1,0,96,349
159000,138000,1997,7,0,1,0,0,0,1,0,138,159
99900,215904,1995,9,0,1,0,0,1,0,0,215.904,99.9
329000,119000,2000,4,1,0,1,0,0,1,0,119,329
85000,137000,1995,9,0,1,0,0,1,0,0,137,85
229000,38126,1999,5,0,1,0,0,0,1,0,38.126,229
119000,41140,1996,8,1,1,0,0,1,0,0,41.14,119
119000,87000,1996,8,1,1,0,0,1,0,0,87,119
229000,106231,1998,6,0,1,0,0,0,1,0,106.231,229
119900,137313,1997,7,0,0,1,0,1,0,0,137.313,119.9
179900,96295,1998,6,0,0,0,1,0,1,0,96.295,179.9
249000,98552,1999,5,0,1,0,0,0,1,0,98.552,249
289000,114000,2000,4,0,0,1,0,0,1,0,114,289
880000,43330,2000,4,1,0,1,0,0,1,0,43.33,880
105000,114085,1995,9,0,1,0,0,1,0,0,114.085,105
539000,18479,2003,1,0,0,1,0,0,1,0,18.479,539
129900,194255,1998,6,0,1,0,0,1,0,0,194.255,129.9
185000,96406,1997,7,0,1,0,0,0,1,0,96.406,185
212000,60000,1999,5,0,1,0,0,0,1,0,60,212
209000,98395,1998,6,0,1,0,0,0,1,0,98.395,209
99000,163000,1995,9,1,1,0,0,1,0,0,163,99
649000,31000,2002,2,1,1,0,0,0,1,0,31,649
109900,95797,1997,7,0,1,0,0,1,0,0,95.797,109.9
469000,46175,2001,3,0,1,0,0,0,1,0,46.175,469
125000,83000,1998,6,1,1,0,0,1,0,0,83,125
99900,207993,1995,9,0,1,0,0,1,0,0,207.993,99.9
139000,33000,2000,4,0,1,0,0,1,0,0,33,139
194000,123000,1997,7,0,1,0,0,0,1,0,123,194
339999,53865,2001,3,0,1,0,0,0,1,0,53.865,339.999
70000,122716,1996,8,1,1,0,0,1,0,0,122.716,70
239000,102000,1998,6,1,1,0,0,0,1,0,102,239
949000,14327,2003,1,0,0,1,0,0,0,1,14.327,949
239900,136000,1998,6,0,0,1,0,0,1,0,136,239.9
139000,80000,1999,5,1,1,0,0,1,0,0,80,139
650000,17000,2002,2,0,1,0,0,0,0,1,17,650
244900,98000,1998,6,0,0,1,0,0,1,0,98,244.9
205000,72589,1998,6,0,1,0,0,0,1,0,72.589,205
129900,166692,1998,6,0,1,0,0,1,0,0,166.692,129.9
207000,105000,2000,4,0,1,0,0,0,1,0,105,207
229000,152000,1998,6,0,0,1,0,0,1,0,152,229
83000,86886,1995,9,0,1,0,0,1,0,0,86.886,83
125000,90150,1999,5,0,1,0,0,1,0,0,90.15,125
934000,8825,2002,2,0,0,1,0,0,0,1,8.825,934
362900,53865,2003,1,0,0,1,0,0,1,0,53.865,362.9
139000,56056,1998,6,0,1,0,0,1,0,0,56.056,139
949000,18600,2002,2,0,1,0,0,0,0,1,18.6,949
155000,93854,1998,6,0,0,1,0,1,0,0,93.854,155
385000,132858,1999,5,0,0,1,0,0,1,0,132.858,385
699000,5900,2002,2,1,0,1,0,0,1,0,5.9,699
114000,230000,1997,7,0,0,1,0,1,0,0,230,114
199900,126057,1997,7,0,0,0,1,0,1,0,126.057,199.9
179000,166300,1998,6,0,1,0,0,0,1,0,166.3,179
157800,14000,2000,4,0,1,0,0,1,0,0,14,157.8
138000,125000,1996,8,1,1,0,0,1,0,0,125,138
129000,152432,1996,8,0,1,0,0,1,0,0,152.432,129
339000,85361,2000,4,0,0,1,0,0,1,0,85.361,339
129000,70000,1998,6,0,1,0,0,1,0,0,70,129
129900,110438,1998,6,0,1,0,0,1,0,0,110.438,129.9
109000,96000,1998,6,0,1,0,0,1,0,0,96,109
125000,142680,1996,8,0,0,1,0,1,0,0,142.68,125
104000,115500,1995,9,0,1,0,0,1,0,0,115.5,104
109900,134173,1995,9,0,1,0,0,1,0,0,134.173,109.9
279900,71371,1999,5,0,1,0,0,0,1,0,71.371,279.9
465000,24958,2002,2,0,0,1,0,0,1,0,24.958,465
99000,82000,1997,7,0,1,0,0,1,0,0,82,99
109000,140000,1998,6,0,1,0,0,1,0,0,140,109
399900,68000,2001,3,0,0,1,0,0,1,0,68,399.9
149000,42000,1998,6,0,1,0,0,1,0,0,42,149
175000,105000,1998,6,0,1,0,0,0,1,0,105,175
286000,134600,1999,5,0,1,0,0,0,1,0,134.6,286
380000,32000,2001,3,0,0,1,0,0,1,0,32,380
89900,138000,1995,9,0,1,0,0,1,0,0,138,89.9
786400,5000,2003,1,0,1,0,0,0,0,1,5,786.4
135000,213457,1995,9,0,0,0,1,1,0,0,213.457,135
85000,165666,1995,9,0,1,0,0,1,0,0,165.666,85
148000,127030,1996,8,1,1,0,0,1,0,0,127.03,148
169000,34125,2000,4,0,1,0,0,1,0,0,34.125,169
195000,157000,1997,7,0,1,0,0,0,1,0,157,195
135000,84247,1997,7,0,1,0,0,1,0,0,84.247,135
169900,125740,2001,3,0,1,0,0,1,0,0,125.74,169.9
120000,167618,1998,6,1,1,0,0,1,0,0,167.618,120
248000,69960,1999,5,0,0,1,0,0,1,0,69.96,248
212000,126300,1999,5,0,1,0,0,0,1,0,126.3,212
177000,147450,1997,7,0,1,0,0,0,1,0,147.45,177
85900,152432,1996,8,0,1,0,0,1,0,0,152.432,85.9
220000,68000,1998,6,0,1,0,0,0,1,0,68,220
109800,57000,1996,8,0,1,0,0,1,0,0,57,109.8
124000,121368,1997,7,0,0,1,0,1,0,0,121.368,124
349000,28030,2002,2,0,1,0,0,0,1,0,28.03,349
99000,93100,1996,8,0,1,0,0,1,0,0,93.1,99
110000,103251,1996,8,0,1,0,0,1,0,0,103.251,110
90000,111500,1996,8,1,1,0,0,1,0,0,111.5,90
431000,110,2003,1,0,0,1,0,0,1,0,0.11,431
479900,23173,2002,2,0,1,0,0,0,1,0,23.173,479.9
539000,19081,2003,1,1,0,1,0,0,1,0,19.081,539
139900,123960,1997,7,0,0,1,0,1,0,0,123.96,139.9
99900,146297,1996,8,0,1,0,0,1,0,0,146.297,99.9
195000,101274,1998,6,0,1,0,0,0,1,0,101.274,195
179000,114655,1998,6,0,1,0,0,0,1,0,114.655,179
155000,34401,1999,5,0,1,0,0,1,0,0,34.401,155
588000,21184,2002,2,0,1,0,0,0,1,0,21.184,588
639000,9174,2003,1,1,0,1,0,0,1,0,9.174,639
519000,28537,2002,2,0,0,1,0,0,1,0,28.537,519
85000,214485,1995,9,0,1,0,0,1,0,0,214.485,85
109900,58288,1997,7,0,1,0,0,1,0,0,58.288,109.9
459000,13200,2002,2,0,0,1,0,0,1,0,13.2,459
579000,17380,2003,1,1,0,1,0,0,1,0,17.38,579
329000,34000,2000,4,0,0,1,0,0,1,0,34,329
177700,137000,1997,7,0,1,0,0,0,1,0,137,177.7
165000,48690,2000,4,0,1,0,0,1,0,0,48.69,165
169000,78568,1999,5,1,0,1,0,1,0,0,78.568,169
289000,106000,2000,4,1,0,1,0,0,1,0,106,289
136000,137000,1998,6,1,1,0,0,1,0,0,137,136
195000,111074,1998,6,0,1,0,0,0,1,0,111.074,195
125000,110435,1999,5,0,1,0,0,1,0,0,110.435,125
179000,118500,1996,8,0,1,0,0,0,1,0,118.5,179
449900,53865,2001,3,0,0,1,0,0,1,0,53.865,449.9
92000,83390,1996,8,0,1,0,0,1,0,0,83.39,92
112000,102000,2000,4,0,1,0,0,1,0,0,102,112
129000,116694,1999,5,0,1,0,0,1,0,0,116.694,129
339000,78309,2000,4,0,0,1,0,0,1,0,78.309,339
549000,18000,2002,2,0,1,0,0,0,1,0,18,549
275000,49964,2001,3,0,1,0,0,0,1,0,49.964,275
269000,94409,1998,6,0,0,1,0,0,1,0,94.409,269
995000,3708,2002,2,0,0,1,0,0,0,1,3.708,995
115000,106609,1998,6,0,1,0,0,1,0,0,106.609,115
93000,118000,1995,9,0,1,0,0,1,0,0,118,93
158000,80973,1999,5,0,1,0,0,1,0,0,80.973,158
132000,46000,1997,7,0,1,0,0,1,0,0,46,132
339000,99000,2000,4,1,0,1,0,0,1,0,99,339
129000,102000,1999,5,0,1,0,0,1,0,0,102,129
285000,85000,1999,5,1,0,1,0,0,1,0,85,285
119900,82464,1996,8,0,1,0,0,1,0,0,82.464,119.9
89900,179796,1995,9,0,1,0,0,1,0,0,179.796,89.9
136000,72000,1998,6,0,1,0,0,1,0,0,72,136
346000,138000,2001,3,1,0,1,0,0,1,0,138,346
315000,101000,1999,5,0,0,1,0,0,1,0,101,315
99900,125398,1996,8,0,1,0,0,1,0,0,125.398,99.9
138000,128350,1998,6,0,1,0,0,1,0,0,128.35,138
168800,65000,1998,6,1,1,0,0,1,0,0,65,168.8
579000,1150,2002,2,0,1,0,0,0,0,1,1.15,579
145000,80825,1999,5,1,1,0,0,1,0,0,80.825,145
85000,133500,1996,8,1,1,0,0,1,0,0,133.5,85
275000,112847,1999,5,0,0,1,0,0,1,0,112.847,275
99900,140693,1995,9,0,1,0,0,1,0,0,140.693,99.9
219000,96000,1998,6,0,1,0,0,0,1,0,96,219
147000,59090,2000,4,0,1,0,0,1,0,0,59.09,147
269000,1595,2000,4,0,1,0,0,0,1,0,1.595,269
269000,47000,2000,4,0,1,0,0,0,1,0,47,269
159800,47000,1998,6,1,1,0,0,1,0,0,47,159.8
126000,121000,1998,6,0,1,0,0,1,0,0,121,126
385000,140000,2001,3,0,0,1,0,0,1,0,140,385
199900,143244,1997,7,0,1,0,0,0,1,0,143.244,199.9
109900,154992,1995,9,0,1,0,0,1,0,0,154.992,109.9
149000,93200,2000,4,0,0,1,0,1,0,0,93.2,149
99900,89691,1995,9,0,1,0,0,1,0,0,89.691,99.9
630000,35000,2002,2,0,1,0,0,0,0,1,35,630
119000,73000,1997,7,0,1,0,0,1,0,0,73,119
136750,136750,1998,6,1,0,1,0,1,0,0,136.75,136.75
239900,120980,1997,7,0,0,1,0,0,1,0,120.98,239.9
109900,146665,1997,7,0,1,0,0,1,0,0,146.665,109.9
299000,50377,2000,4,0,1,0,0,0,1,0,50.377,299
259000,68000,2000,4,0,1,0,0,0,1,0,68,259
359000,95714,2001,3,0,1,0,0,0,1,0,95.714,359
129000,152432,1996,8,0,1,0,0,1,0,0,152.432,129
239000,88000,2000,4,0,1,0,0,0,1,0,88,239
519000,14413,2003,1,1,1,0,0,0,1,0,14.413,519
349000,89000,2001,3,1,0,1,0,0,1,0,89,349
95000,131000,1995,9,0,1,0,0,1,0,0,131,95
109900,100000,1996,8,1,1,0,0,1,0,0,100,109.9
141000,69000,1997,7,1,1,0,0,1,0,0,69,141
79000,110000,1996,8,1,1,0,0,1,0,0,110,79
95000,121000,1997,7,0,1,0,0,1,0,0,121,95
179000,139000,1997,7,0,1,0,0,0,1,0,139,179
579000,9368,2002,2,1,0,1,0,0,1,0,9.368,579
271000,179000,1999,5,1,1,0,0,0,1,0,179,271
84990,107070,1996,8,1,1,0,0,1,0,0,107.07,84.99
639000,19587,2003,1,0,0,1,0,0,0,1,19.587,639
146000,51000,2000,4,0,1,0,0,1,0,0,51,146
295000,72000,1999,5,0,0,1,0,0,1,0,72,295
99900,132524,1995,9,0,1,0,0,1,0,0,132.524,99.9
155000,57420,2000,4,0,1,0,0,1,0,0,57.42,155
549000,19153,2002,2,1,0,1,0,0,1,0,19.153,549
138000,91000,1997,7,0,0,1,0,1,0,0,91,138
173000,165900,1997,7,0,1,0,0,0,1,0,165.9,173
849000,16295,2003,1,0,0,1,0,0,0,1,16.295,849
239000,33000,1999,5,0,1,0,0,0,1,0,33,239
439000,78000,2001,3,1,0,1,0,0,1,0,78,439
135000,101652,1995,9,1,1,0,0,1,0,0,101.652,135
315000,178077,2000,4,1,0,1,0,0,1,0,178.077,315
129999,75666,1998,6,0,1,0,0,1,0,0,75.666,129.999
199900,133368,1998,6,0,0,0,1,0,1,0,133.368,199.9
129800,62000,1997,7,1,1,0,0,1,0,0,62,129.8
132000,33000,1995,9,0,1,0,0,1,0,0,33,132
224000,106200,1999,5,1,1,0,0,0,1,0,106.2,224
189900,43195,1996,8,0,1,0,0,0,1,0,43.195,189.9
75000,96000,1995,9,0,1,0,0,1,0,0,96,75
99900,68641,1996,8,0,1,0,0,1,0,0,68.641,99.9
99900,192548,1996,8,0,1,0,0,1,0,0,192.548,99.9
529000,8949,2003,1,0,1,0,0,0,1,0,8.949,529
185000,195000,1998,6,0,1,0,0,0,1,0,195,185
155000,103923,1999,5,0,0,1,0,1,0,0,103.923,155
125000,110000,1997,7,1,1,0,0,1,0,0,110,125
144800,58000,1998,6,0,1,0,0,1,0,0,58,144.8
419999,53865,2003,1,0,1,0,0,0,1,0,53.865,419.999
199000,165000,1999,5,0,1,0,0,0,1,0,165,199
550000,25000,2002,2,0,1,0,0,0,1,0,25,550
479000,20712,2002,2,0,0,1,0,0,1,0,20.712,479
149000,89883,1997,7,1,0,1,0,1,0,0,89.883,149
199900,102865,1999,5,0,1,0,0,0,1,0,102.865,199.9
259900,68297,1997,7,0,0,1,0,0,1,0,68.297,259.9
440000,29184,2002,2,0,0,1,0,0,1,0,29.184,440
597000,32736,2002,2,1,1,0,0,0,1,0,32.736,597
220000,100006,2000,4,0,1,0,0,0,1,0,100.006,220
115000,122781,1996,8,0,1,0,0,1,0,0,122.781,115
455000,73622,2000,4,1,1,0,0,0,1,0,73.622,455
109900,144081,1997,7,0,1,0,0,1,0,0,144.081,109.9
80000,128073,1996,8,1,1,0,0,1,0,0,128.073,80
